,pvalue_QTE_twoSides,pvalue_QDE_twoSides,pvalue_QIE_twoSides,pvalue_normal_QDE_twoSides,pvalue_QTE_RightSide,pvalue_QDE_RightSide,pvalue_QIE_RightSide,pvalue_normal_QDE_RightSide,QDE,QIE,coe_beta0_mse,coe_gamma_y_mse,coe_beta11_mse,coe_beta12_mse,coe_phi01_mse,coe_Gamma_s1_mse,coe_phi11_mse,coe_phi12_mse,coe_phi02_mse,coe_Gamma_s2_mse,coe_phi21_mse,coe_phi22_mse,mean_stat_QIE_b,sd_stat_QIE_b,run_time,QDE_mse,QIE_mse,QTE_indicator_twoSides,QDE_indicator_twoSides,QIE_indicator_twoSides,QDE_norm_indicator_twoSides,QTE_indicator_RightSide,QDE_indicator_RightSide,QIE_indicator_RightSide,QDE_norm_indicator_RightSide
Run20,0.5,0.0,0.5,0.021942910687450468,0.6,1.0,0.6,0.9890285446562748,-0.42537255588032385,-2.0350779408366417,0.006628571580423924,0.00954356873405631,0.004068295717936383,0.009811727741270803,0.011911692712910205,0.018573300586747027,0.006244843074041082,0.004938433418392438,0.008787404443299379,0.016280235586376382,0.011388968490436776,0.027075117101161655,-1.428303013829905,3.2377769171311073,0.02509044806162516,0.18094181129615924,4.141542225279906,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Run21,1.0,0.0,0.9,0.0281075595048923,0.5,1.0,0.4,0.9859462202475539,-0.2015355409323835,0.23934749622411788,0.009707246712574604,0.023355670765571674,0.004600838357547513,0.002258477750862038,0.019638951789267018,0.031074422628176227,0.014614593656413228,0.006772349883588293,0.026059909565292975,0.027402968539047372,0.009907410508991557,0.029472735023779294,-0.34218637160114773,7.156206430235558,0.025040165583292643,0.04061657425890842,0.05728722394875412,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Run22,1.0,0.0,1.0,0.040117078778736825,0.3,0.0,0.3,0.020058539389368413,0.2215715989876196,0.21022231328404042,0.00946073568498241,0.03202344516014487,0.010609519235857534,0.004542504585843647,0.011946197451932435,0.007390154064453427,0.01644043552373563,0.003098490029193012,0.013698193761044591,0.013844987421828086,0.027351458825728585,0.016128685694164358,-2.587443112742842,5.181779559508584,0.024904064337412515,0.049093973477930514,0.04419342100249324,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Run23,0.2,0.7,0.2,0.7185484391520531,0.8,0.5,0.8,0.35927421957602657,0.09736254776997659,-3.9725890408577245,0.003627315824165421,0.005572806791512914,0.003678821441951765,0.005745974457600583,0.014908570530286387,0.0203226915428829,0.005034068934657182,0.004490837984319416,0.008334269618127643,0.015801078895097263,0.005789435238314006,0.012015082941054243,-0.03858845477032587,3.9121204384433543,0.025044135252634683,0.009479465708260974,15.781463687542896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run24,0.3,0.4,0.3,0.4961061143756651,0.1,0.2,0.1,0.24805305718783255,0.17599253755897162,7.703214881092398,0.012474797849257577,0.0028239954421137524,0.008327210528434787,0.0031896134047671317,0.011149307911039803,0.010924264483397372,0.008634623541104032,0.0026400946809959874,0.016576484714238133,0.030240720982611605,0.00957162416095165,0.011886564513918002,0.7615178215560612,6.955947949458555,0.02502471605936686,0.030973373276446038,59.33951950428337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run25,0.0,0.0,0.0,0.11392976931562848,0.0,1.0,0.0,0.9430351153421858,-0.3356832227677095,6.948233225573773,0.0047303695982135385,0.0049865717488387406,0.00276810654868307,0.0014751489143494066,0.020349410568878117,0.01347434037260478,0.0025355846161408393,0.0030092459799301585,0.009386878089870565,0.020462002194557266,0.018656041479707116,0.031008876005907425,0.9399837829224706,3.829195883876618,0.026091881593068442,0.11268322604771569,48.27794495696732,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Run26,0.5,0.9,0.6,0.8216978375373574,0.5,0.5,0.5,0.5891510812313213,-0.038901323813136435,-2.9558507018639437,0.005169426361557142,0.006661558266951555,0.0025725407303787244,0.0029982329867227924,0.01639296164524733,0.056282321876955525,0.015256938840529434,0.004237283349781107,0.014175381019884402,0.04883775249603286,0.005317200345088726,0.013344241934012043,-2.975515527377128,3.175364843838695,0.02465348243713379,0.0015133129944144958,8.73705337170957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run27,0.7,0.5,0.7,0.40312718525234437,0.5,0.3,0.5,0.20156359262617218,0.19970356415740578,1.6869452964108413,0.007423663999041047,0.017200323658503946,0.0035388028740811254,0.0035950595116090015,0.0025068172586769195,0.0021090967605534253,0.011194220359416923,0.007760030614658622,0.01286221600940143,0.024479009867889853,0.00909628582790916,0.015834874470703995,1.2250998765695111,3.8997577193459616,0.024941750367482505,0.039881513537171086,2.8457844330826614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run28,0.3,0.3,0.3,0.44872470309414325,0.7,0.1,0.7,0.22436235154707163,0.08646326844106547,-2.2719362430757273,0.00611378808930377,0.010170388400170018,0.0023675549919444593,0.001953275627412579,0.01538807029809551,0.01583166812955551,0.016775309038468418,0.0063270130812479695,0.030711970840287664,0.04793796855889259,0.016716232980834342,0.02146569983127764,-1.672247966527145,3.123294109865261,0.024967380364735923,0.007475896789511749,5.16169429260105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run29,0.2,0.7,0.2,0.6862923876218345,0.2,0.6,0.2,0.6568538061890827,-0.0944931856359056,7.221933689652257,0.004202217149122594,0.006370306243949721,0.0027066509795983323,0.004239618143967011,0.016805212130812465,0.015871197791624304,0.004788774597351634,0.005839404534241634,0.006658883242446959,0.018808475625067444,0.0059054478430603805,0.008708717559381294,2.7120750507141396,3.9867373052112907,0.024769937992095946,0.008928962131621716,52.15632621773426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
